transaction_id,customer_name,amount,failure_reason,timestamp,do_not_contact
TXN0042,Ananya Iyer,2279.15,insufficient_funds,2026-08-28 15:10:31,False
TXN0043,Rahul Verma,766.26,insufficient_funds,2026-08-27 02:44:40,False
TXN0044,Nikhil Joshi,2455.25,insufficient_funds,2026-09-02 13:38:25,False
TXN0045,Deepa Krishnan,9360.59,insufficient_funds,2026-08-29 22:45:58,False
TXN0046,Sanjay Mehta,4781.43,insufficient_funds,2026-09-02 19:21:31,False
TXN0047,Sanjay Mehta,4366.41,insufficient_funds,2026-08-31 14:23:33,False
TXN0048,Karthik Raj,635.29,bank_unavailable,2026-09-04 02:30:36,False
TXN0049,Karthik Raj,8024.87,invalid_card,2026-09-02 05:22:46,False
TXN0050,Sanjay Mehta,4540.27,insufficient_funds,2026-09-02 21:01:12,False
TXN0051,Ananya Iyer,8756.41,network_timeout,2026-08-31 06:42:20,False
TXN0052,Rahul Verma,5547.22,bank_unavailable,2026-08-29 04:32:32,False
TXN0053,Ananya Iyer,245.1,card_expired,2026-08-26 10:43:44,False
TXN0054,Nikhil Joshi,1745.48,invalid_card,2026-08-30 21:31:52,False
TXN0055,Arjun Nair,9033.18,bank_unavailable,2026-08-31 22:06:13,True
TXN0056,Pooja Desai,2724.51,customer_cancelled,2026-09-01 20:35:50,True
TXN0057,Suresh Babu,7331.0,fraud_blocked,2026-08-29 02:12:29,False
TXN0058,Divya Menon,1978.99,network_timeout,2026-08-26 00:34:00,False
TXN0059,Kavya Reddy,5466.73,card_expired,2026-09-04 03:20:15,False
TXN0060,Anjali Bose,5077.22,card_expired,2026-09-03 03:16:23,False
TXN0061,Arjun Nair,892.1,customer_cancelled,2026-09-04 00:36:43,True
TXN0062,Lakshmi Rao,8631.01,insufficient_funds,2026-09-03 12:17:03,False
TXN0063,Manoj Tiwari,2536.53,bank_unavailable,2026-09-04 07:31:09,True
TXN0064,Deepa Krishnan,6606.99,insufficient_funds,2026-08-30 11:35:21,False
TXN0065,Kavya Reddy,2121.17,bank_unavailable,2026-09-02 07:46:21,False
TXN0066,Rohan Gupta,6748.73,network_timeout,2026-08-31 03:19:23,False
TXN0067,Priya Sharma,9362.77,bank_unavailable,2026-08-31 03:04:07,False
TXN0068,Ananya Iyer,9960.35,customer_cancelled,2026-08-30 08:01:29,False
TXN0069,Aditya Kumar,1410.32,card_expired,2026-08-26 21:38:59,False
TXN0070,Arjun Nair,3757.32,bank_unavailable,2026-08-31 07:53:34,True
TXN0071,Anjali Bose,3093.92,card_expired,2026-09-04 15:10:46,False
TXN0072,Karthik Raj,3062.85,invalid_card,2026-08-26 07:42:50,False
TXN0073,Karthik Raj,1241.74,insufficient_funds,2026-08-28 06:52:37,False
TXN0074,Divya Menon,2888.39,insufficient_funds,2026-08-28 12:49:48,False
TXN0075,Meera Pillai,6377.96,insufficient_funds,2026-08-30 15:45:32,False
TXN0076,Rahul Verma,9089.77,insufficient_funds,2026-09-03 18:54:19,False
TXN0077,Priya Sharma,2838.13,network_timeout,2026-09-01 09:00:13,False
TXN0078,Arjun Nair,9799.0,insufficient_funds,2026-08-28 07:09:42,True
TXN0079,Priya Sharma,4333.1,card_expired,2026-09-03 14:12:26,False
TXN0080,Sneha Patel,6940.09,bank_unavailable,2026-08-30 06:06:55,False
TXN0081,Sneha Patel,5865.84,invalid_card,2026-08-31 09:54:30,False
TXN0082,Rahul Verma,3709.05,insufficient_funds,2026-08-26 17:18:54,False
TXN0083,Karthik Raj,2569.34,insufficient_funds,2026-09-01 04:10:27,False
TXN0084,Manoj Tiwari,8758.66,card_expired,2026-08-28 05:10:57,True
TXN0085,Arjun Nair,2442.7,bank_unavailable,2026-08-25 22:46:03,True
TXN0086,Priya Sharma,8825.02,invalid_card,2026-09-02 22:00:38,False
TXN0087,Sanjay Mehta,7844.63,bank_unavailable,2026-08-27 16:31:14,False
TXN0088,Meera Pillai,8125.42,bank_unavailable,2026-09-03 02:50:58,False
TXN0089,Rahul Verma,3886.16,invalid_card,2026-08-27 02:59:41,False
TXN0090,Pooja Desai,8183.21,insufficient_funds,2026-09-01 05:08:20,True
TXN0091,Vikram Singh,8725.1,invalid_card,2026-09-04 11:22:39,False
TXN0092,Ananya Iyer,3348.79,insufficient_funds,2026-08-26 01:00:13,False
TXN0093,Lakshmi Rao,6449.67,insufficient_funds,2026-08-28 21:58:22,False
TXN0094,Priya Sharma,3377.38,invalid_card,2026-09-03 13:22:30,False
TXN0095,Meera Pillai,1866.82,customer_cancelled,2026-09-04 07:52:31,False
TXN0096,Kavya Reddy,3521.3,card_expired,2026-08-31 08:19:21,False
TXN0097,Deepa Krishnan,1243.89,customer_cancelled,2026-09-02 19:26:17,False
TXN0098,Anjali Bose,4415.97,insufficient_funds,2026-08-26 10:55:08,False
TXN0099,Divya Menon,7221.36,card_expired,2026-09-01 01:38:38,False
TXN0100,Kavya Reddy,6674.95,insufficient_funds,2026-08-29 11:29:59,False
TXN0101,Rohan Gupta,1332.79,fraud_blocked,2026-08-30 15:20:52,False
TXN0102,Rohan Gupta,3328.21,fraud_blocked,2026-08-30 03:59:53,False
TXN0103,Lakshmi Rao,6681.8,insufficient_funds,2026-08-28 22:30:03,False
TXN0104,Rohan Gupta,6192.6,bank_unavailable,2026-08-31 15:35:56,False
TXN0105,Divya Menon,3107.36,invalid_card,2026-08-31 09:53:02,False
TXN0106,Pooja Desai,6580.59,card_expired,2026-08-31 07:01:42,True
TXN0107,Arjun Nair,5159.62,fraud_blocked,2026-08-29 02:55:58,True
TXN0108,Manoj Tiwari,6671.15,insufficient_funds,2026-09-01 08:36:43,True
TXN0109,Rohan Gupta,7535.27,invalid_card,2026-09-02 11:08:36,False
TXN0110,Vikram Singh,340.81,insufficient_funds,2026-08-25 20:54:45,False
TXN0111,Pooja Desai,7707.04,card_expired,2026-08-31 13:35:28,True
TXN0112,Lakshmi Rao,2023.91,card_expired,2026-08-30 18:24:23,False
TXN0113,Priya Sharma,6593.97,insufficient_funds,2026-08-26 18:49:07,False
TXN0114,Sanjay Mehta,8865.11,bank_unavailable,2026-09-02 12:32:07,False
TXN0115,Pooja Desai,6988.53,invalid_card,2026-09-04 05:00:17,True
TXN0116,Pooja Desai,8497.53,insufficient_funds,2026-09-03 09:03:20,True
TXN0117,Suresh Babu,5357.21,network_timeout,2026-08-29 18:08:55,False
TXN0118,Manoj Tiwari,8924.12,customer_cancelled,2026-08-27 13:27:20,True
TXN0119,Suresh Babu,4323.73,bank_unavailable,2026-08-31 06:02:16,False
TXN0120,Pooja Desai,8627.8,insufficient_funds,2026-09-02 02:51:04,True
TXN0121,Anjali Bose,6411.85,insufficient_funds,2026-08-30 20:45:14,False
TXN0122,Rohan Gupta,4453.74,insufficient_funds,2026-09-02 08:46:43,False
TXN0123,Ananya Iyer,8939.97,network_timeout,2026-09-03 07:50:50,False
TXN0124,Divya Menon,6969.1,insufficient_funds,2026-09-04 01:38:32,False
TXN0125,Sanjay Mehta,5470.85,network_timeout,2026-09-04 02:06:48,False
TXN0126,Deepa Krishnan,3954.82,invalid_card,2026-08-26 06:00:08,False
TXN0127,Deepa Krishnan,8817.5,insufficient_funds,2026-08-31 21:45:56,False
TXN0128,Lakshmi Rao,3581.41,insufficient_funds,2026-08-27 04:13:46,False
TXN0129,Suresh Babu,4247.31,customer_cancelled,2026-08-27 17:05:19,False
TXN0130,Meera Pillai,4932.47,bank_unavailable,2026-08-31 08:27:23,False
TXN0131,Lakshmi Rao,3426.68,insufficient_funds,2026-08-28 11:15:13,False
TXN0132,Manoj Tiwari,9202.46,invalid_card,2026-08-30 08:52:03,True
TXN0133,Priya Sharma,5958.74,bank_unavailable,2026-09-03 20:54:35,False
TXN0134,Arjun Nair,8680.83,network_timeout,2026-09-04 04:59:19,True
TXN0135,Kavya Reddy,2194.44,network_timeout,2026-09-01 08:03:25,False
TXN0136,Sanjay Mehta,2853.74,bank_unavailable,2026-09-02 04:30:43,False
TXN0137,Suresh Babu,290.89,insufficient_funds,2026-09-04 04:33:23,False
TXN0138,Ananya Iyer,2318.8,customer_cancelled,2026-08-27 21:33:40,False
TXN0139,Vikram Singh,7565.91,fraud_blocked,2026-09-02 17:12:38,False
TXN0140,Sneha Patel,1607.59,insufficient_funds,2026-08-30 23:24:09,False
TXN0141,Pooja Desai,9481.79,insufficient_funds,2026-08-28 17:11:08,True
TXN0142,Manoj Tiwari,1760.11,invalid_card,2026-08-26 01:45:39,True
TXN0143,Arjun Nair,7799.14,invalid_card,2026-08-26 01:31:27,True
TXN0144,Rohan Gupta,353.22,insufficient_funds,2026-08-29 22:51:57,False
TXN0145,Divya Menon,3814.54,bank_unavailable,2026-09-03 22:49:04,False
TXN0146,Karthik Raj,6308.7,fraud_blocked,2026-08-28 17:43:51,False
TXN0147,Karthik Raj,6873.16,network_timeout,2026-08-27 17:57:45,False
TXN0148,Suresh Babu,505.58,card_expired,2026-08-31 10:14:47,False
TXN0149,Kavya Reddy,5108.01,network_timeout,2026-09-04 14:01:14,False
TXN0150,Sanjay Mehta,4952.0,network_timeout,2026-08-26 02:28:05,False
